protocol,operation,group_size,history_size,effective_history_ops,role,total_crypto,network_bytes
beekem,add,32,0,65,sender,3,127552
beekem,add,32,0,65,receiver,5,304
beekem,add,32,0,65,receiver,5,304
beekem,add,32,0,65,receiver,5,304
beekem,add,32,0,65,receiver,5,304
beekem,add,32,0,65,receiver,5,304
beekem,add,32,0,65,receiver,5,304
beekem,add,32,0,65,receiver,5,304
beekem,add,32,0,65,receiver,5,304
beekem,add,32,0,65,receiver,5,304
beekem,add,32,0,65,receiver,5,304
beekem,add,32,0,65,receiver,5,304
beekem,add,32,0,65,receiver,5,304
beekem,add,32,0,65,receiver,5,304
beekem,add,32,0,65,receiver,5,304
beekem,add,32,0,65,receiver,5,304
beekem,add,32,0,65,receiver,5,304
beekem,add,32,0,65,receiver,5,304
beekem,add,32,0,65,receiver,5,304
beekem,add,32,0,65,receiver,5,304
beekem,add,32,0,65,receiver,5,304
beekem,add,32,0,65,receiver,5,304
beekem,add,32,0,65,receiver,5,304
beekem,add,32,0,65,receiver,5,304
beekem,add,32,0,65,receiver,5,304
beekem,add,32,0,65,receiver,5,304
beekem,add,32,0,65,receiver,5,304
beekem,add,32,0,65,receiver,5,304
beekem,add,32,0,65,receiver,5,304
beekem,add,32,0,65,receiver,5,304
beekem,add,32,0,65,receiver,5,304
beekem,add,32,0,65,receiver,5,304
beekem,add,32,0,65,new_receiver,130,127248
beekem,add,32,0,65,system,288,136672
beekem,add,32,1,66,sender,3,129688
beekem,add,32,1,66,receiver,5,304
beekem,add,32,1,66,receiver,5,304
beekem,add,32,1,66,receiver,5,304
beekem,add,32,1,66,receiver,5,304
beekem,add,32,1,66,receiver,5,304
beekem,add,32,1,66,receiver,5,304
beekem,add,32,1,66,receiver,5,304
beekem,add,32,1,66,receiver,5,304
beekem,add,32,1,66,receiver,5,304
beekem,add,32,1,66,receiver,5,304
beekem,add,32,1,66,receiver,5,304
beekem,add,32,1,66,receiver,5,304
beekem,add,32,1,66,receiver,5,304
beekem,add,32,1,66,receiver,5,304
beekem,add,32,1,66,receiver,5,304
beekem,add,32,1,66,receiver,5,304
beekem,add,32,1,66,receiver,5,304
beekem,add,32,1,66,receiver,5,304
beekem,add,32,1,66,receiver,5,304
beekem,add,32,1,66,receiver,5,304
beekem,add,32,1,66,receiver,5,304
beekem,add,32,1,66,receiver,5,304
beekem,add,32,1,66,receiver,5,304
beekem,add,32,1,66,receiver,5,304
beekem,add,32,1,66,receiver,5,304
beekem,add,32,1,66,receiver,5,304
beekem,add,32,1,66,receiver,5,304
beekem,add,32,1,66,receiver,5,304
beekem,add,32,1,66,receiver,5,304
beekem,add,32,1,66,receiver,5,304
beekem,add,32,1,66,receiver,5,304
beekem,add,32,1,66,new_receiver,132,129384
beekem,add,32,1,66,system,290,138808
beekem,add,32,2,67,sender,3,131824
beekem,add,32,2,67,receiver,5,304
beekem,add,32,2,67,receiver,5,304
beekem,add,32,2,67,receiver,5,304
beekem,add,32,2,67,receiver,5,304
beekem,add,32,2,67,receiver,5,304
beekem,add,32,2,67,receiver,5,304
beekem,add,32,2,67,receiver,5,304
beekem,add,32,2,67,receiver,5,304
beekem,add,32,2,67,receiver,5,304
beekem,add,32,2,67,receiver,5,304
beekem,add,32,2,67,receiver,5,304
beekem,add,32,2,67,receiver,5,304
beekem,add,32,2,67,receiver,5,304
beekem,add,32,2,67,receiver,5,304
beekem,add,32,2,67,receiver,5,304
beekem,add,32,2,67,receiver,5,304
beekem,add,32,2,67,receiver,5,304
beekem,add,32,2,67,receiver,5,304
beekem,add,32,2,67,receiver,5,304
beekem,add,32,2,67,receiver,5,304
beekem,add,32,2,67,receiver,5,304
beekem,add,32,2,67,receiver,5,304
beekem,add,32,2,67,receiver,5,304
beekem,add,32,2,67,receiver,5,304
beekem,add,32,2,67,receiver,5,304
beekem,add,32,2,67,receiver,5,304
beekem,add,32,2,67,receiver,5,304
beekem,add,32,2,67,receiver,5,304
beekem,add,32,2,67,receiver,5,304
beekem,add,32,2,67,receiver,5,304
beekem,add,32,2,67,receiver,5,304
beekem,add,32,2,67,new_receiver,134,131520
beekem,add,32,2,67,system,292,140944
beekem,add,32,4,69,sender,3,136096
beekem,add,32,4,69,receiver,5,304
beekem,add,32,4,69,receiver,5,304
beekem,add,32,4,69,receiver,5,304
beekem,add,32,4,69,receiver,5,304
beekem,add,32,4,69,receiver,5,304
beekem,add,32,4,69,receiver,5,304
beekem,add,32,4,69,receiver,5,304
beekem,add,32,4,69,receiver,5,304
beekem,add,32,4,69,receiver,5,304
beekem,add,32,4,69,receiver,5,304
beekem,add,32,4,69,receiver,5,304
beekem,add,32,4,69,receiver,5,304
beekem,add,32,4,69,receiver,5,304
beekem,add,32,4,69,receiver,5,304
beekem,add,32,4,69,receiver,5,304
beekem,add,32,4,69,receiver,5,304
beekem,add,32,4,69,receiver,5,304
beekem,add,32,4,69,receiver,5,304
beekem,add,32,4,69,receiver,5,304
beekem,add,32,4,69,receiver,5,304
beekem,add,32,4,69,receiver,5,304
beekem,add,32,4,69,receiver,5,304
beekem,add,32,4,69,receiver,5,304
beekem,add,32,4,69,receiver,5,304
beekem,add,32,4,69,receiver,5,304
beekem,add,32,4,69,receiver,5,304
beekem,add,32,4,69,receiver,5,304
beekem,add,32,4,69,receiver,5,304
beekem,add,32,4,69,receiver,5,304
beekem,add,32,4,69,receiver,5,304
beekem,add,32,4,69,receiver,5,304
beekem,add,32,4,69,new_receiver,138,135792
beekem,add,32,4,69,system,296,145216
beekem,add,32,8,73,sender,3,144640
beekem,add,32,8,73,receiver,5,304
beekem,add,32,8,73,receiver,5,304
beekem,add,32,8,73,receiver,5,304
beekem,add,32,8,73,receiver,5,304
beekem,add,32,8,73,receiver,5,304
beekem,add,32,8,73,receiver,5,304
beekem,add,32,8,73,receiver,5,304
beekem,add,32,8,73,receiver,5,304
beekem,add,32,8,73,receiver,5,304
beekem,add,32,8,73,receiver,5,304
beekem,add,32,8,73,receiver,5,304
beekem,add,32,8,73,receiver,5,304
beekem,add,32,8,73,receiver,5,304
beekem,add,32,8,73,receiver,5,304
beekem,add,32,8,73,receiver,5,304
beekem,add,32,8,73,receiver,5,304
beekem,add,32,8,73,receiver,5,304
beekem,add,32,8,73,receiver,5,304
beekem,add,32,8,73,receiver,5,304
beekem,add,32,8,73,receiver,5,304
beekem,add,32,8,73,receiver,5,304
beekem,add,32,8,73,receiver,5,304
beekem,add,32,8,73,receiver,5,304
beekem,add,32,8,73,receiver,5,304
beekem,add,32,8,73,receiver,5,304
beekem,add,32,8,73,receiver,5,304
beekem,add,32,8,73,receiver,5,304
beekem,add,32,8,73,receiver,5,304
beekem,add,32,8,73,receiver,5,304
beekem,add,32,8,73,receiver,5,304
beekem,add,32,8,73,receiver,5,304
beekem,add,32,8,73,new_receiver,146,144336
beekem,add,32,8,73,system,304,153760
beekem,add,32,16,81,sender,3,161728
beekem,add,32,16,81,receiver,5,304
beekem,add,32,16,81,receiver,5,304
beekem,add,32,16,81,receiver,5,304
beekem,add,32,16,81,receiver,5,304
