iteration,group_size,partitions,total_updates,avg_updates_per_member,distinct_updaters,conflicts_after_merge,first_secrets,first_crypto,first_bytes,first_ms,recovery_steps,recovery_secrets,recovery_crypto,recovery_bytes,recovery_ms
0,64,4,0,0.000000,0,0,6,37,2492,0.371713,1,6,37,2492,0.371713
0,64,4,8,0.125000,8,9,12,469,3468,3.010232,3,27,555,9068,3.885912
0,64,4,16,0.250000,16,16,18,517,4348,3.449417,12,91,952,33144,7.785035
0,64,4,24,0.375000,24,24,26,573,5372,3.915503,16,160,1304,49088,11.234141
0,64,4,32,0.500000,32,35,36,637,6604,4.613897,26,243,1790,77376,16.163167
0,64,4,48,0.750000,48,49,49,737,8260,5.417954,41,397,2649,123460,24.578147
0,64,4,64,1.000000,64,63,63,841,9940,6.121668,56,522,3392,165968,31.657674
0,64,4,80,1.250000,64,63,63,889,9940,6.319494,57,513,3417,166660,31.581141
0,64,4,96,1.500000,64,63,63,937,9940,6.739899,57,513,3465,166660,31.989084
0,64,4,112,1.750000,64,63,63,985,9940,7.364090,57,513,3513,166660,32.674702
0,64,4,128,2.000000,64,63,63,1033,9940,7.454793,57,513,3561,166660,32.746125
1,64,4,0,0.000000,0,0,6,37,2492,0.362202,1,6,37,2492,0.362202
1,64,4,8,0.125000,8,9,11,465,3412,2.850867,5,37,621,13780,4.413289
1,64,4,16,0.250000,16,19,21,529,4644,3.426367,15,111,1071,40892,8.823992
1,64,4,24,0.375000,24,28,28,581,5644,3.857731,23,214,1611,67972,14.166992
1,64,4,32,0.500000,32,35,35,633,6452,4.291566,30,294,2046,90552,18.405747
1,64,4,48,0.750000,48,50,51,745,8436,5.330711,39,387,2583,118684,23.737463
1,64,4,64,1.000000,64,63,63,841,9940,6.125408,50,548,3418,158456,31.987757
1,64,4,80,1.250000,64,63,63,889,9940,6.435028,57,552,3573,171340,33.285504
1,64,4,96,1.500000,64,63,63,937,9940,6.752209,57,552,3621,171340,33.606606
1,64,4,112,1.750000,64,63,63,985,9940,7.160953,57,552,3669,171340,34.011084
