iteration,group_size,partitions,total_updates,avg_updates_per_member,distinct_updaters,conflicts_after_merge,first_secrets,first_crypto,first_bytes,first_ms,recovery_steps,recovery_secrets,recovery_crypto,recovery_bytes,recovery_ms
0,8,4,0,0.000000,0,0,3,22,1424,0.198627,1,3,22,1424,0.198627
0,8,4,4,0.500000,4,3,3,82,1712,0.410924,1,3,82,1712,0.410924
0,8,4,8,1.000000,8,7,7,110,2224,0.614170,4,17,180,6808,1.251372
0,8,4,12,1.500000,8,7,7,122,2224,0.660582,6,24,240,9776,1.726770
0,8,4,16,2.000000,8,7,7,134,2224,0.722175,6,24,252,9776,1.796942
1,8,4,0,0.000000,0,0,3,22,1424,0.198227,1,3,22,1424,0.198227
1,8,4,4,0.500000,4,3,4,86,1704,0.418075,3,11,134,4704,0.859160
1,8,4,8,1.000000,8,7,7,110,2224,0.580509,4,17,180,6808,1.220482
1,8,4,12,1.500000,8,7,7,122,2224,0.634712,4,20,204,7168,1.394087
1,8,4,16,2.000000,8,7,7,134,2224,0.688854,4,20,216,7168,1.450921
2,8,4,0,0.000000,0,0,3,22,1424,0.198507,1,3,22,1424,0.198507
2,8,4,4,0.500000,4,3,3,82,1648,0.380553,1,3,82,1648,0.380553
2,8,4,8,1.000000,8,7,7,110,2224,0.590310,5,20,202,8232,1.428749
2,8,4,12,1.500000,8,7,7,122,2224,0.631831,6,32,272,10736,2.027057
2,8,4,16,2.000000,8,7,7,134,2224,0.689224,6,32,284,10736,2.083572
3,8,4,0,0.000000,0,0,3,22,1424,0.195206,1,3,22,1424,0.195206
3,8,4,4,0.500000,4,3,3,82,1712,0.377302,1,3,82,1712,0.377302
3,8,4,8,1.000000,8,7,7,110,2224,0.579440,7,31,266,11680,2.001309
3,8,4,12,1.500000,8,7,7,122,2224,0.634492,4,20,204,7168,1.390688
3,8,4,16,2.000000,8,7,7,134,2224,0.688033,4,20,216,7168,1.449659
4,8,4,0,0.000000,0,0,3,22,1424,0.195767,1,3,22,1424,0.195767
4,8,4,4,0.500000,4,3,4,86,1704,0.416774,3,11,134,4704,0.852939
4,8,4,8,1.000000,8,7,7,110,2224,0.585780,5,20,202,8232,1.423228
4,8,4,12,1.500000,8,7,7,122,2224,0.632332,5,24,230,8712,1.636907
4,8,4,16,2.000000,8,7,7,134,2224,0.689504,5,24,242,8712,1.685968
5,8,4,0,0.000000,0,0,3,22,1424,0.195606,1,3,22,1424,0.195606
5,8,4,4,0.500000,4,3,5,90,1856,0.457265,3,12,138,4920,0.894840
5,8,4,8,1.000000,8,7,7,110,2224,0.586170,6,24,228,9776,1.660066
5,8,4,12,1.500000,8,7,7,122,2224,0.634931,7,30,274,11560,2.020007
5,8,4,16,2.000000,8,7,7,134,2224,0.684323,7,30,286,11560,2.078569
6,8,4,0,0.000000,0,0,3,22,1424,0.198387,1,3,22,1424,0.198387
6,8,4,4,0.500000,4,3,3,82,1648,0.380363,1,3,82,1648,0.380363
6,8,4,8,1.000000,8,7,7,110,2224,0.588470,6,29,248,10376,1.871442
6,8,4,12,1.500000,8,7,7,122,2224,0.638722,4,17,192,6808,1.281944
6,8,4,16,2.000000,8,7,7,134,2224,0.689104,4,17,204,6808,1.324515
7,8,4,0,0.000000,0,0,3,22,1424,0.195546,1,3,22,1424,0.195546
7,8,4,4,0.500000,4,4,4,86,1736,0.421434,2,7,108,3192,0.622290
7,8,4,8,1.000000,8,7,7,110,2224,0.584170,4,20,192,7168,1.342996
7,8,4,12,1.500000,8,7,7,122,2224,0.638671,5,27,242,9072,1.760188
7,8,4,16,2.000000,8,7,7,134,2224,0.689563,5,27,254,9072,1.806290
8,8,4,0,0.000000,0,0,3,22,1424,0.198517,1,3,22,1424,0.198517
8,8,4,4,0.500000,4,4,4,86,1736,0.420084,2,7,108,3192,0.622661
8,8,4,8,1.000000,8,7,7,110,2224,0.584450,6,24,228,9776,1.652805
8,8,4,12,1.500000,8,7,7,122,2224,0.637702,7,27,262,11200,1.909545
8,8,4,16,2.000000,8,7,7,134,2224,0.690144,7,27,274,11200,1.956657
9,8,4,0,0.000000,0,0,3,22,1424,0.199107,1,3,22,1424,0.199107
9,8,4,4,0.500000,4,3,4,86,1704,0.419204,3,11,134,4704,0.859040
9,8,4,8,1.000000,8,7,7,110,2224,0.580270,6,24,228,9776,1.650807
9,8,4,12,1.500000,8,7,7,122,2224,0.633441,4,17,192,6808,1.273302
9,8,4,16,2.000000,8,7,7,134,2224,0.690354,4,17,204,6808,1.325825
10,8,4,0,0.000000,0,0,3,22,1424,0.195427,1,3,22,1424,0.195427
10,8,4,4,0.500000,4,3,5,90,1792,0.461205,2,8,112,3312,0.658821
10,8,4,8,1.000000,8,7,7,110,2224,0.584810,4,20,192,7168,1.342906
10,8,4,12,1.500000,8,7,7,122,2224,0.636951,6,25,244,9896,1.746609
10,8,4,16,2.000000,8,7,7,134,2224,0.684654,6,25,256,9896,1.796372
11,8,4,0,0.000000,0,0,3,22,1424,0.195567,1,3,22,1424,0.195567
11,8,4,4,0.500000,4,3,3,82,1648,0.378383,1,3,82,1648,0.378383
11,8,4,8,1.000000,8,7,7,110,2224,0.585189,5,20,202,8232,1.421357
11,8,4,12,1.500000,8,7,7,122,2224,0.638711,4,17,192,6808,1.270332
11,8,4,16,2.000000,8,7,7,134,2224,0.686193,4,17,204,6808,1.323766
12,8,4,0,0.000000,0,0,3,22,1424,0.200307,1,3,22,1424,0.200307
12,8,4,4,0.500000,4,3,3,82,1648,0.380513,1,3,82,1648,0.380513
12,8,4,8,1.000000,8,7,7,110,2224,0.589120,4,20,192,7168,1.345086
12,8,4,12,1.500000,8,7,7,122,2224,0.632701,5,27,242,9072,1.746948
12,8,4,16,2.000000,8,7,7,134,2224,0.690773,5,27,254,9072,1.814691
13,8,4,0,0.000000,0,0,3,22,1424,0.195177,1,3,22,1424,0.195177
13,8,4,4,0.500000,4,3,3,82,1648,0.381783,1,3,82,1648,0.381783
13,8,4,8,1.000000,8,7,7,110,2224,0.581070,5,24,218,8712,1.572924
