operation,role,group_size,n_samples,total_ms,pubkey_ms,sym_ms
add_then_update,new_receiver,8,5,0.5950,0.5511,0.0246
add_then_update,new_receiver,16,5,1.1510,1.0590,0.0466
add_then_update,new_receiver,32,5,2.3230,2.0982,0.1037
add_then_update,new_receiver,64,5,4.9680,4.2966,0.2463
add_then_update,new_receiver,128,5,11.1780,9.1322,0.6059
add_then_update,new_receiver,256,5,27.5740,20.4979,1.5077
add_then_update,new_receiver,512,5,73.8590,49.8904,4.0793
add_then_update,receiver,8,35,0.0770,0.0565,0.0116
add_then_update,receiver,16,75,0.0750,0.0568,0.0083
add_then_update,receiver,32,155,0.0790,0.0571,0.0102
add_then_update,receiver,64,315,0.0830,0.0576,0.0119
add_then_update,receiver,128,635,0.0900,0.0581,0.0138
add_then_update,receiver,256,1275,0.0970,0.0584,0.0158
add_then_update,receiver,512,2555,0.1520,0.0588,0.0175
add_then_update,sender,8,5,0.2700,0.1787,0.0170
add_then_update,sender,16,5,0.3240,0.2166,0.0168
add_then_update,sender,32,5,0.3790,0.2543,0.0203
add_then_update,sender,64,5,0.4390,0.2930,0.0239
add_then_update,sender,128,5,0.5020,0.3338,0.0274
add_then_update,sender,256,5,0.5630,0.3717,0.0310
add_then_update,sender,512,5,0.6790,0.4099,0.0360
add_then_update,system,8,5,1.6660,1.1299,0.1230
add_then_update,system,16,5,3.1190,2.1374,0.1876
add_then_update,system,32,5,6.1990,4.1401,0.4450
add_then_update,system,64,5,12.9970,8.2544,1.0273
add_then_update,system,128,5,28.6220,16.8991,2.4043
add_then_update,system,256,5,65.5930,35.9188,5.6128
add_then_update,system,512,5,180.4870,80.6787,13.1844
remove_then_update,receiver,8,30,0.0740,0.0562,0.0106
remove_then_update,receiver,16,70,0.0790,0.0566,0.0132
remove_then_update,receiver,32,150,0.0790,0.0571,0.0109
remove_then_update,receiver,64,310,0.0840,0.0576,0.0133
remove_then_update,receiver,128,630,0.0920,0.0580,0.0161
remove_then_update,receiver,256,1270,0.0990,0.0590,0.0185
remove_then_update,receiver,512,2550,0.0990,0.0593,0.0115
remove_then_update,sender,8,5,0.2570,0.1782,0.0160
remove_then_update,sender,16,5,0.3520,0.2537,0.0220
remove_then_update,sender,32,5,0.4440,0.3293,0.0244
remove_then_update,sender,64,5,0.5490,0.4096,0.0302
remove_then_update,sender,128,5,0.6540,0.4859,0.0363
remove_then_update,sender,256,5,0.7550,0.5629,0.0425
remove_then_update,sender,512,5,0.8450,0.6335,0.0433
remove_then_update,system,8,5,0.8750,0.5223,0.0794
remove_then_update,system,16,5,1.8520,1.0585,0.2078
remove_then_update,system,32,5,3.6780,2.0593,0.3541
remove_then_update,system,64,5,7.6810,4.0462,0.8569
remove_then_update,system,128,5,16.2250,7.8604,2.0917
remove_then_update,system,256,5,34.1660,15.6625,4.7857
remove_then_update,system,512,5,68.3360,31.1549,5.9370
update,receiver,8,35,0.0430,0.0286,0.0080
update,receiver,16,75,0.0460,0.0291,0.0097
update,receiver,32,155,0.0440,0.0294,0.0067
update,receiver,64,315,0.0480,0.0299,0.0084
update,receiver,128,635,0.0540,0.0304,0.0104
update,receiver,256,1275,0.0590,0.0306,0.0123
update,receiver,512,2555,0.0640,0.0311,0.0140
update,sender,8,5,0.1980,0.1274,0.0128
update,sender,16,5,0.2530,0.1653,0.0161
update,sender,32,5,0.3040,0.2032,0.0160
update,sender,64,5,0.3670,0.2461,0.0195
update,sender,128,5,0.4240,0.2828,0.0231
update,sender,256,5,0.4800,0.3177,0.0267
update,sender,512,5,0.5430,0.3556,0.0302
update,system,8,5,0.6220,0.3328,0.0687
update,system,16,5,1.2060,0.6092,0.1623
update,system,32,5,2.2280,1.1328,0.2228
update,system,64,5,4.5770,2.1519,0.5521
update,system,128,5,9.7790,4.1665,1.3510
update,system,256,5,20.4890,8.1811,3.1776
update,system,512,5,44.1090,16.3725,7.2198
