operation,role,group_size,n_samples,total_ms,pubkey_ms,sym_ms
add,new_receiver,8,5,0.6612,0.4630,0.0044
add,new_receiver,16,5,0.9070,0.7546,0.0056
add,new_receiver,32,5,0.9566,0.7299,0.0054
add,new_receiver,64,5,1.2709,0.7526,0.0056
add,new_receiver,128,5,2.5451,0.7701,0.0069
add,new_receiver,256,5,7.2789,0.8518,0.0066
add,new_receiver,512,5,24.5843,1.0698,0.0071
add,receiver,8,35,0.8127,0.7302,0.0047
add,receiver,16,75,1.3442,1.2720,0.0063
add,receiver,32,155,1.3430,1.2624,0.0058
add,receiver,64,315,1.3599,1.2587,0.0055
add,receiver,128,635,1.5083,1.2730,0.0062
add,receiver,256,1275,1.8027,1.2957,0.0068
add,receiver,512,2555,2.1634,1.3170,0.0066
add,sender,8,5,1.0116,0.7905,0.0034
add,sender,16,5,1.0319,0.7869,0.0034
add,sender,32,5,1.1839,0.7936,0.0036
add,sender,64,5,1.4965,0.8494,0.0040
add,sender,128,5,3.3531,0.9154,0.0048
add,sender,256,5,7.8153,0.9957,0.0064
add,sender,512,5,26.6299,1.2076,0.0088
message,sender,8,5,0.1377,0.0891,0.0023
message,sender,16,5,0.1441,0.0896,0.0020
message,sender,32,5,0.1780,0.0896,0.0021
message,sender,64,5,0.2775,0.1387,0.0024
message,sender,128,5,0.4616,0.1687,0.0034
message,sender,256,5,0.8843,0.1732,0.0051
message,sender,512,5,1.7573,0.1736,0.0063
remove,receiver,8,30,0.3357,0.2763,0.0049
remove,receiver,16,70,0.5332,0.4585,0.0097
remove,receiver,32,150,0.5636,0.4479,0.0170
remove,receiver,64,310,0.6123,0.4449,0.0302
remove,receiver,128,630,0.8196,0.4523,0.0593
remove,receiver,256,1270,1.1927,0.4646,0.1177
remove,receiver,512,2550,1.9725,0.4851,0.2346
remove,sender,8,5,1.8315,1.6997,0.0034
remove,sender,16,5,3.8569,3.7037,0.0056
remove,sender,32,5,8.0043,7.7339,0.0102
remove,sender,64,5,16.3061,15.8054,0.0202
remove,sender,128,5,32.7958,31.8862,0.0430
remove,sender,256,5,66.6226,64.0800,0.0777
remove,sender,512,5,132.8206,128.4151,0.1488
update,receiver,8,35,0.3111,0.2723,0.0047
update,receiver,16,75,0.5240,0.4549,0.0104
update,receiver,32,155,0.5489,0.4516,0.0169
update,receiver,64,315,0.6078,0.4466,0.0312
update,receiver,128,635,0.7803,0.4520,0.0592
update,receiver,256,1275,1.1664,0.4668,0.1197
update,receiver,512,2555,1.7762,0.4854,0.2338
update,sender,8,5,2.0533,1.9493,0.0036
update,sender,16,5,4.1126,3.9670,0.0061
update,sender,32,5,8.2153,7.9920,0.0106
update,sender,64,5,16.5894,16.0941,0.0197
update,sender,128,5,33.5667,32.3749,0.0389
update,sender,256,5,66.6165,64.5147,0.0765
update,sender,512,5,134.3203,129.1758,0.1546
