operation,role,group_size,n_samples,total_ms,pubkey_ms,sym_ms
add,new_receiver,8,5,0.5527,0.4277,0.0219
add,new_receiver,16,5,0.9311,0.7185,0.0418
add,new_receiver,32,5,1.6892,1.2916,0.0868
add,new_receiver,64,5,3.2557,2.4402,0.1856
add,new_receiver,128,5,6.5619,4.7434,0.4091
add,new_receiver,256,5,13.3867,9.3403,0.8889
add,new_receiver,512,5,27.6978,18.5383,1.9273
add,receiver,8,35,0.3347,0.2257,0.0184
add,receiver,16,75,0.3859,0.2250,0.0303
add,receiver,32,155,0.4858,0.2308,0.0546
add,receiver,64,315,0.6912,0.2333,0.1028
add,receiver,128,635,1.1583,0.2315,0.2000
add,receiver,256,1275,2.1789,0.2357,0.3945
add,receiver,512,2555,4.2253,0.2369,0.7838
add,sender,8,5,0.4030,0.2981,0.0226
add,sender,16,5,0.4788,0.3864,0.0354
add,sender,32,5,0.6749,0.4829,0.0609
add,sender,64,5,0.8493,0.6246,0.1093
add,sender,128,5,1.2981,0.6673,0.2064
add,sender,256,5,2.4191,0.8026,0.3995
add,sender,512,5,4.5874,0.9407,0.7832
add,system,8,5,3.4363,2.3478,0.1734
add,system,16,5,7.3764,4.6074,0.5417
add,system,32,5,17.7306,9.1111,1.8621
add,system,64,5,48.1112,18.0919,6.8327
add,system,128,5,155.4004,36.1501,26.1683
add,system,256,5,568.6248,72.0109,102.1302
add,system,512,5,2181.6977,143.7648,403.4790
remove,receiver,8,30,0.2310,0.1459,0.0118
remove,receiver,16,70,0.2690,0.1489,0.0196
remove,receiver,32,150,0.3486,0.1484,0.0345
remove,receiver,64,310,0.5055,0.1491,0.0644
remove,receiver,128,630,0.8730,0.1509,0.1247
remove,receiver,256,1270,1.7128,0.1512,0.2447
remove,receiver,512,2550,3.3460,0.1531,0.4864
remove,sender,8,5,0.2840,0.2795,0.0132
remove,sender,16,5,0.3700,0.4986,0.0214
remove,sender,32,5,0.4767,0.6405,0.0373
remove,sender,64,5,0.6555,0.8990,0.0674
remove,sender,128,5,1.0417,1.1225,0.1290
remove,sender,256,5,2.0092,1.3918,0.2489
remove,sender,512,5,3.9246,1.6773,0.4889
remove,system,8,5,1.6734,1.1612,0.0853
remove,system,16,5,4.1716,2.5828,0.2953
remove,system,32,5,11.0049,5.1835,1.0802
remove,system,64,5,32.2856,10.3765,4.0939
remove,system,128,5,111.0436,20.5906,15.9411
remove,system,256,5,436.4461,40.8894,62.6975
remove,system,512,5,1711.2656,81.6688,248.8323
update,receiver,8,35,0.2247,0.1412,0.0118
update,receiver,16,75,0.2683,0.1420,0.0201
update,receiver,32,155,0.3471,0.1465,0.0349
update,receiver,64,315,0.5029,0.1441,0.0646
update,receiver,128,635,0.8640,0.1488,0.1245
update,receiver,256,1275,1.7017,0.1509,0.2453
update,receiver,512,2555,3.3465,0.1519,0.4892
update,sender,8,5,0.2563,0.2151,0.0134
update,sender,16,5,0.3135,0.2991,0.0216
update,sender,32,5,0.4036,0.3886,0.0372
update,sender,64,5,0.5831,0.4833,0.0676
update,sender,128,5,0.9933,0.6333,0.1285
update,sender,256,5,1.9398,0.7402,0.2491
update,sender,512,5,3.8616,0.8981,0.4900
update,system,8,5,1.8670,1.2362,0.0989
update,system,16,5,4.3783,2.5286,0.3235
update,system,32,5,11.2430,5.0871,1.1284
update,system,64,5,32.6649,10.0855,4.1732
update,system,128,5,111.8672,20.2641,16.0838
update,system,256,5,436.1124,40.4599,63.1376
update,system,512,5,1703.9199,81.1560,251.0496
